Time,N,Answer,Ratio,Type
1.03,12,33771,1.122706117,approx
5.19,12,32546,1.081981383,approx
10.21,12,32736,1.088297872,approx
30.19,12,30719,1.021243351,approx
60.27,12,30719,1.021243351,approx
300.26,12,30080,1,approx
600.13,12,30080,1,approx
1200.1,12,30080,1,approx
1.05,13,26756,1.167772346,approx
5.16,13,24246,1.058222765,approx
10.26,13,25845,1.128011522,approx
30.18,13,24875,1.085675628,approx
60.22,13,24321,1.061496159,approx
300.18,13,23326,1.018069134,approx
600.22,13,22912,1,approx
1200.09,13,22912,1,approx
1.12,14,27465,1.419233154,approx
5.27,14,24201,1.250568417,approx
10.14,14,22091,1.141535759,approx
30.04,14,20797,1.074669285,approx
60.22,14,19352,1,approx
300.13,14,19352,1,approx
600.08,14,19485,1.006872675,approx
1200.12,14,19352,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
1.1,4,80,1,approx
5.12,4,80,1,approx
10.17,4,80,1,approx
30.03,4,80,1,approx
60.14,4,80,1,approx
300.03,4,80,1,approx
600.21,4,80,1,approx
1200.17,4,80,1,approx
1.1,5,24959,1,approx
5.21,5,24959,1,approx
10.17,5,24959,1,approx
30.17,5,24959,1,approx
60.1,5,24959,1,approx
300.03,5,24959,1,approx
600.18,5,24959,1,approx
1200.07,5,24959,1,approx
1.18,6,16418,1,approx
5.27,6,16418,1,approx
10.19,6,16418,1,approx
30.07,6,16418,1,approx
60.07,6,16418,1,approx
300.25,6,16418,1,approx
600.18,6,16418,1,approx
1200.27,6,16418,1,approx
1.1,7,24976,1.008357221,approx
5.08,7,24769,1,approx
10.25,7,24769,1,approx
30.05,7,24769,1,approx
60.08,7,24769,1,approx
300.24,7,24769,1,approx
600.04,7,24769,1,approx
1200.13,7,24769,1,approx
1.2,8,23484,1.040865172,approx
5.13,8,23484,1.040865172,approx
10.08,8,22562,1,approx
30.23,8,22562,1,approx
60.12,8,22562,1,approx
300.21,8,22562,1,approx
600.11,8,22562,1,approx
1200.13,8,22562,1,approx
1.15,9,14161,1,approx
5.17,9,14161,1,approx
10.19,9,14161,1,approx
30.12,9,14161,1,approx
60.19,9,14161,1,approx
300.15,9,14161,1,approx
600.13,9,14161,1,approx
1200.11,9,14161,1,approx
1.23,10,22061,1.029973388,approx
5.29,10,21419,1,approx
10.22,10,21419,1,approx
30.12,10,21419,1,approx
60.11,10,21419,1,approx
300.09,10,21419,1,approx
600.09,10,21419,1,approx
1200.03,10,21419,1,approx
1.28,11,17348,1.272687257,approx
5.14,11,13822,1.014012178,approx
10.14,11,13822,1.014012178,approx
30.06,11,13822,1.014012178,approx
60.15,11,13631,1,approx
300.05,11,13631,1,approx
600.08,11,13631,1,approx
1200.28,11,13631,1,approx
1.08,12,30989,1.030219415,approx
5.19,12,30328,1.008244681,approx
10.08,12,30989,1.030219415,approx
30.12,12,30328,1.008244681,approx
60.22,12,30080,1,approx
300.04,12,30080,1,approx
600.2,12,30080,1,approx
1200.04,12,30080,1,approx
1.23,13,26288,1.147346369,approx
5.28,13,25278,1.103264665,approx
10.18,13,25999,1.134732891,approx
30.28,13,23847,1.04080831,approx
60.24,13,24198,1.056127793,approx
300.16,13,22912,1,approx
600.26,13,22912,1,approx
1200.19,13,22912,1,approx
1.11,14,20148,1.041132699,approx
5.07,14,20497,1.059167011,approx
10.3,14,21202,1.095597354,approx
30.09,14,20148,1.041132699,approx
60.05,14,20916,1.08081852,approx
300.05,14,19352,1,approx
600.18,14,19352,1,approx
1200.08,14,19352,1,approx
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
